k,inertia
1,204455.99999999985
2,159416.27657467444
3,124822.2987646778
4,107538.75718051715
5,95466.16317738549
6,85478.57613850335
7,77962.70025293791
8,71234.13549815651
9,67971.33904589918
10,64329.0609399971
