,Latitude_Degrees,Latitude_Degrees,Longitude_Degrees,Longitude_Degrees,Depth,Depth,Percent_Hard_Coral_Cover,Percent_Hard_Coral_Cover,Percent_Macroalgal_Cover,Percent_Macroalgal_Cover,Temperature_Mean,Temperature_Mean,SSTA_Mean,SSTA_Mean,TSA_Mean,TSA_Mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Cluster,,,,,,,,,,,,,,,,
0,25.336524628616107,3.019959506027831,26.12501172791243,90.98423357241697,7.39003536345776,5.161015867683886,30.000664581704456,21.384552654776275,4.254912093766649,9.994288462480279,298.30260359655983,1.4204586308506733,0.0,0.0,-3.7639014855355746,0.8824471926298751
1,15.758511023538183,11.298343713261069,-85.6044317818724,61.287707922762145,11.404677331145747,6.613729493713272,13.891667021729868,13.512227550050579,19.726107180756987,20.722120925942587,300.2444769932292,0.9915278862032958,0.0,0.0,-1.478930496061904,0.5650913037709043
2,-19.17319717847769,4.545412034557871,143.22815452755904,28.77486275243374,5.742057026476578,3.432646529344641,25.950252624671915,16.252310648421357,43.61700534759358,27.72475363800581,298.7452813408585,0.9518687268976137,0.0,0.0,-2.542127586796648,0.590258143081374
3,0.6734590237348859,11.295059698594505,96.11081773399015,74.98409043154507,6.4967108627710966,3.289865667166365,35.98759046936582,19.91523211456,4.460500852111342,9.655328148547815,301.4459347514829,0.8986054966661277,0.0,0.0,-1.186906320310902,0.45009420401900413
