date_year,percent_hard_coral_cover
1992-01-01,25.117166666666666
1993-01-01,23.37125
1994-01-01,23.615315315315318
1995-01-01,28.894057971014494
1996-01-01,31.855777777777774
1997-01-01,33.12601307189542
1998-01-01,34.024206896551725
1999-01-01,34.25445205479452
2000-01-01,30.566595744680853
2001-01-01,29.66289340101523
2002-01-01,29.115988023952095
2003-01-01,33.30361111111111
2004-01-01,31.35202247191011
2005-01-01,25.790473372781065
2006-01-01,30.87391489361702
2007-01-01,30.50011627906977
2008-01-01,25.581308411214952
2009-01-01,27.82849246231156
2010-01-01,22.111
2011-01-01,20.893229813664597
2012-01-01,20.374172413793104
2013-01-01,24.55448275862069
2014-01-01,21.543703703703706
2015-01-01,28.932989130434784
2016-01-01,23.343735849056603
2017-01-01,29.162464454976302
2018-01-01,22.253080808080806
2019-01-01,21.644795321637428
2020-01-01,22.74940170940171
